fechaHora,fechaHora,ultimoPrecio
2021-06-24 17:00:12.143,2021-06-24T17:00:12.143,150.0
2021-06-23 12:00:20.050,2021-06-23T12:00:20.05,150.0
2021-06-22 17:00:17.973,2021-06-22T17:00:17.973,150.0
2021-06-18 12:00:07.107,2021-06-18T12:00:07.107,151.0
2021-06-17 17:00:15.310,2021-06-17T17:00:15.31,148.0
2021-06-16 17:00:12.177,2021-06-16T17:00:12.177,148.0
2021-06-15 17:00:13.380,2021-06-15T17:00:13.38,148.0
2021-06-14 17:00:20.247,2021-06-14T17:00:20.247,143.0
2021-06-11 16:00:08.097,2021-06-11T16:00:08.097,143.0
2021-06-10 16:00:08.183,2021-06-10T16:00:08.183,143.0
2021-06-09 17:00:22.383,2021-06-09T17:00:22.383,143.0
2021-06-08 17:00:12.433,2021-06-08T17:00:12.433,143.0
2021-06-07 17:00:22.337,2021-06-07T17:00:22.337,145.0
2021-06-04 17:00:10.960,2021-06-04T17:00:10.96,143.0
2021-06-03 17:00:17.077,2021-06-03T17:00:17.077,141.0
2021-06-02 17:00:12.607,2021-06-02T17:00:12.607,150.0
2021-06-01 17:00:10.013,2021-06-01T17:00:10.013,150.0
2021-05-31 17:00:18.743,2021-05-31T17:00:18.743,149.0
2021-05-28 17:00:23.047,2021-05-28T17:00:23.047,145.0
2021-05-27 17:00:13.417,2021-05-27T17:00:13.417,141.5
2021-05-26 17:01:00.000,2021-05-26T17:01:00,145.0
2021-05-21 17:00:08.947,2021-05-21T17:00:08.947,145.0
2021-05-20 17:00:13.697,2021-05-20T17:00:13.697,145.0
2021-05-19 17:00:20.530,2021-05-19T17:00:20.53,145.0
2021-05-18 16:00:22.543,2021-05-18T16:00:22.543,141.0
2021-05-17 17:00:22.600,2021-05-17T17:00:22.6,150.0
2021-05-14 17:00:10.987,2021-05-14T17:00:10.987,150.0
2021-05-13 17:00:09.267,2021-05-13T17:00:09.267,149.0
2021-05-12 17:00:11.687,2021-05-12T17:00:11.687,145.0
2021-05-11 12:00:00.653,2021-05-11T12:00:00.653,150.5
2021-05-10 17:00:10.847,2021-05-10T17:00:10.847,151.0
2021-05-07 17:00:11.650,2021-05-07T17:00:11.65,151.0
2021-05-06 03:00:02.283,2021-05-06T03:00:02.283,140.0
2021-05-05 17:00:12.340,2021-05-05T17:00:12.34,140.0
2021-05-04 17:00:10.357,2021-05-04T17:00:10.357,140.0
2021-05-03 17:00:10.700,2021-05-03T17:00:10.7,140.0
2021-04-30 17:00:28.353,2021-04-30T17:00:28.353,145.0
2021-04-29 17:00:26.263,2021-04-29T17:00:26.263,145.0
2021-04-28 17:00:11.410,2021-04-28T17:00:11.41,149.0
2021-04-27 17:00:25.630,2021-04-27T17:00:25.63,153.75
2021-04-26 17:00:11.027,2021-04-26T17:00:11.027,154.5
2021-04-23 17:00:09.813,2021-04-23T17:00:09.813,152.5
2021-04-22 17:00:11.070,2021-04-22T17:00:11.07,141.0
2021-04-21 17:00:11.607,2021-04-21T17:00:11.607,125.0
2021-04-20 17:00:10.947,2021-04-20T17:00:10.947,122.0
2021-04-19 17:00:29.363,2021-04-19T17:00:29.363,120.0
2021-04-16 17:00:13.497,2021-04-16T17:00:13.497,120.0
2021-04-15 17:00:23.693,2021-04-15T17:00:23.693,125.0
2021-04-14 17:00:11.820,2021-04-14T17:00:11.82,125.0
2021-04-13 12:00:28.640,2021-04-13T12:00:28.64,131.0
2021-04-12 17:00:26.507,2021-04-12T17:00:26.507,131.5
2021-04-09 17:00:27.553,2021-04-09T17:00:27.553,132.0
2021-04-08 17:00:17.553,2021-04-08T17:00:17.553,132.0
2021-04-07 17:00:27.553,2021-04-07T17:00:27.553,132.5
2021-04-06 17:00:09.443,2021-04-06T17:00:09.443,134.25
2021-03-31 17:00:13.677,2021-03-31T17:00:13.677,135.0
2021-03-30 17:00:10.990,2021-03-30T17:00:10.99,135.0
2021-03-29 17:00:15.600,2021-03-29T17:00:15.6,135.0
2021-03-26 17:00:11.563,2021-03-26T17:00:11.563,135.0
2021-03-25 17:00:22.643,2021-03-25T17:00:22.643,134.0
2021-03-23 17:00:10.703,2021-03-23T17:00:10.703,138.0
2021-03-22 17:00:12.883,2021-03-22T17:00:12.883,139.0
2021-03-19 17:00:14.783,2021-03-19T17:00:14.783,137.0
2021-03-18 17:00:16.147,2021-03-18T17:00:16.147,135.0
2021-03-17 17:00:19.690,2021-03-17T17:00:19.69,135.0
2021-03-16 17:00:16.393,2021-03-16T17:00:16.393,135.0
2021-03-15 17:00:27.310,2021-03-15T17:00:27.31,139.0
2021-03-12 17:00:36.993,2021-03-12T17:00:36.993,135.0
2021-03-11 16:00:29.820,2021-03-11T16:00:29.82,135.0
2021-03-10 17:00:46.933,2021-03-10T17:00:46.933,130.0
2021-03-09 17:00:48.860,2021-03-09T17:00:48.86,130.0
2021-03-08 17:00:48.880,2021-03-08T17:00:48.88,130.0
2021-03-05 17:00:42.750,2021-03-05T17:00:42.75,130.0
2021-03-04 17:00:42.237,2021-03-04T17:00:42.237,135.0
2021-03-03 17:00:46.280,2021-03-03T17:00:46.28,135.0
2021-03-02 17:00:45.570,2021-03-02T17:00:45.57,134.0
2021-03-01 17:00:39.747,2021-03-01T17:00:39.747,135.0
2021-02-26 17:00:40.853,2021-02-26T17:00:40.853,133.0
2021-02-25 17:00:36.487,2021-02-25T17:00:36.487,131.5
2021-02-24 17:00:42.963,2021-02-24T17:00:42.963,131.0
2021-02-23 17:00:45.183,2021-02-23T17:00:45.183,131.0
2021-02-22 17:00:49.817,2021-02-22T17:00:49.817,134.0
