MyDay,NENAME,S1_mode_combined_attach_request_times_SEQ,S1_mode_combined_attach_success_times_SEQ
2020/10/19 0:00,MME1BEL,343759,219050
2020/10/19 1:00,MME1BEL,319204,196705
2020/10/19 2:00,MME1BEL,291688,174360
2020/10/19 3:00,MME1BEL,282360,169321
2020/10/19 4:00,MME1BEL,268570,159011
2020/10/19 5:00,MME1BEL,278417,166651
2020/10/19 6:00,MME1BEL,299518,185267
2020/10/19 7:00,MME1BEL,331895,213626
2020/10/19 8:00,MME1BEL,346742,226462
2020/10/19 9:00,MME1BEL,362431,241599
2020/10/19 10:00,MME1BEL,375837,246647
2020/10/19 11:00,MME1BEL,385232,255119
2020/10/19 12:00,MME1BEL,381414,250632
2020/10/19 13:00,MME1BEL,385952,256445
2020/10/19 14:00,MME1BEL,385887,254337
2020/10/19 15:00,MME1BEL,393364,261355
2020/10/19 16:00,MME1BEL,392107,261550
2020/10/19 17:00,MME1BEL,397472,265567
2020/10/19 18:00,MME1BEL,395586,261577
2020/10/19 19:00,MME1BEL,411381,275015
2020/10/19 20:00,MME1BEL,411287,273830
2020/10/19 21:00,MME1BEL,411010,274713
2020/10/19 22:00,MME1BEL,394635,261049
2020/10/19 23:00,MME1BEL,453836,322881
2020/10/20 0:00,MME1BEL,427865,298339
2020/10/20 1:00,MME1BEL,334336,213336
2020/10/20 2:00,MME1BEL,316690,199869
2020/10/20 3:00,MME1BEL,297560,182198
2020/10/20 4:00,MME1BEL,292996,179689
2020/10/20 5:00,MME1BEL,291270,179757
2020/10/20 6:00,MME1BEL,317164,201067
2020/10/20 7:00,MME1BEL,336909,220333
2020/10/20 8:00,MME1BEL,373787,251042
2020/10/20 9:00,MME1BEL,371099,247933
2020/10/20 10:00,MME1BEL,388917,262211
2020/10/20 11:00,MME1BEL,402889,265411
2020/10/20 12:00,MME1BEL,408172,272818
2020/10/20 13:00,MME1BEL,405959,270187
2020/10/20 14:00,MME1BEL,403455,266819
2020/10/20 15:00,MME1BEL,397216,262357
2020/10/20 16:00,MME1BEL,396253,262223
2020/10/20 17:00,MME1BEL,404544,268104
2020/10/20 18:00,MME1BEL,407699,271130
2020/10/20 19:00,MME1BEL,415083,277714
2020/10/20 20:00,MME1BEL,420566,282956
2020/10/20 21:00,MME1BEL,406361,271946
2020/10/20 22:00,MME1BEL,399042,262688
2020/10/20 23:00,MME1BEL,377785,247994
2020/10/21 0:00,MME1BEL,347151,219858
2020/10/21 1:00,MME1BEL,362981,200119
2020/10/21 2:00,MME1BEL,828693,177892
2020/10/21 3:00,MME1BEL,276283,162488
2020/10/21 4:00,MME1BEL,272213,161006
2020/10/21 5:00,MME1BEL,274057,164263
2020/10/21 6:00,MME1BEL,301427,187642
2020/10/21 7:00,MME1BEL,334076,211530
2020/10/21 8:00,MME1BEL,357286,235080
2020/10/21 9:00,MME1BEL,370421,244378
2020/10/21 10:00,MME1BEL,381441,255065
2020/10/21 11:00,MME1BEL,392119,261383
2020/10/21 12:00,MME1BEL,396328,264687
2020/10/21 13:00,MME1BEL,397149,262730
2020/10/21 14:00,MME1BEL,398861,263668
2020/10/21 15:00,MME1BEL,392978,258599
2020/10/21 16:00,MME1BEL,392108,258890
2020/10/21 17:00,MME1BEL,397843,262314
2020/10/21 18:00,MME1BEL,403968,269311
2020/10/21 19:00,MME1BEL,417741,280028
2020/10/21 20:00,MME1BEL,422460,283729
2020/10/21 21:00,MME1BEL,415840,278690
2020/10/21 22:00,MME1BEL,400235,264838
2020/10/21 23:00,MME1BEL,378809,248272
2020/10/22 0:00,MME1BEL,351914,226101
2020/10/22 1:00,MME1BEL,326357,195410
2020/10/22 2:00,MME1BEL,291847,174878
2020/10/22 3:00,MME1BEL,282185,166810
2020/10/22 4:00,MME1BEL,268359,159025
2020/10/22 5:00,MME1BEL,275124,166132
2020/10/22 6:00,MME1BEL,295713,184739
2020/10/22 7:00,MME1BEL,326861,212665
2020/10/22 8:00,MME1BEL,348726,231860
2020/10/22 9:00,MME1BEL,363519,246498
2020/10/22 10:00,MME1BEL,381193,255746
2020/10/22 11:00,MME1BEL,398080,265387
2020/10/22 12:00,MME1BEL,402235,269446
2020/10/22 13:00,MME1BEL,403341,270314
2020/10/22 14:00,MME1BEL,401514,268866
2020/10/22 15:00,MME1BEL,402463,267419
2020/10/22 16:00,MME1BEL,395593,264069
2020/10/22 17:00,MME1BEL,406244,272744
2020/10/22 18:00,MME1BEL,408557,272027
2020/10/22 19:00,MME1BEL,420207,285653
2020/10/22 20:00,MME1BEL,427451,292834
2020/10/22 21:00,MME1BEL,421294,285891
2020/10/22 22:00,MME1BEL,411122,276763
2020/10/22 23:00,MME1BEL,394682,264339
2020/10/23 0:00,MME1BEL,373767,248037
2020/10/23 1:00,MME1BEL,323580,204054
2020/10/23 2:00,MME1BEL,300243,183998
2020/10/23 3:00,MME1BEL,285478,170228
2020/10/23 4:00,MME1BEL,276899,164682
2020/10/23 5:00,MME1BEL,279985,169984
2020/10/23 6:00,MME1BEL,303418,193221
2020/10/23 7:00,MME1BEL,333774,218027
2020/10/23 8:00,MME1BEL,355615,237586
2020/10/23 9:00,MME1BEL,369757,247544
2020/10/23 10:00,MME1BEL,382276,257288
2020/10/23 11:00,MME1BEL,391667,263290
2020/10/23 12:00,MME1BEL,396925,266234
2020/10/23 13:00,MME1BEL,395959,265376
2020/10/23 14:00,MME1BEL,397654,263667
2020/10/23 15:00,MME1BEL,393481,261959
2020/10/23 16:00,MME1BEL,390263,260141
2020/10/23 17:00,MME1BEL,398000,264482
2020/10/23 18:00,MME1BEL,397037,262848
2020/10/23 19:00,MME1BEL,407228,273412
2020/10/23 20:00,MME1BEL,412550,278498
2020/10/23 21:00,MME1BEL,407980,272529
2020/10/23 22:00,MME1BEL,395236,263692
2020/10/23 23:00,MME1BEL,376237,247590
2020/10/24 0:00,MME1BEL,351373,227546
2020/10/24 1:00,MME1BEL,321241,201155
2020/10/24 2:00,MME1BEL,299958,180903
2020/10/24 3:00,MME1BEL,283664,170008
2020/10/24 4:00,MME1BEL,269157,159158
2020/10/24 5:00,MME1BEL,269272,160700
2020/10/24 6:00,MME1BEL,281864,173274
2020/10/24 7:00,MME1BEL,304200,194749
2020/10/24 8:00,MME1BEL,329987,215579
2020/10/24 9:00,MME1BEL,356426,237070
2020/10/24 10:00,MME1BEL,369288,246134
2020/10/24 11:00,MME1BEL,377301,255634
2020/10/24 12:00,MME1BEL,384426,254153
2020/10/24 13:00,MME1BEL,386352,253940
2020/10/24 14:00,MME1BEL,370403,247656
2020/10/24 15:00,MME1BEL,378663,247706
2020/10/24 16:00,MME1BEL,376331,245657
2020/10/24 17:00,MME1BEL,383671,252765
2020/10/24 18:00,MME1BEL,386771,256266
2020/10/24 19:00,MME1BEL,396369,264697
2020/10/24 20:00,MME1BEL,407936,273073
2020/10/24 21:00,MME1BEL,400212,266765
2020/10/24 22:00,MME1BEL,387143,255682
