MyDay,NENAME,S1_mode_combined_attach_request_times_SEQ,S1_mode_combined_attach_success_times_SEQ
2020/10/26 0:00,MME1BEL,366679,238962
2020/10/26 1:00,MME1BEL,334383,210681
2020/10/26 2:00,MME1BEL,305981,188072
2020/10/26 3:00,MME1BEL,292139,179611
2020/10/26 4:00,MME1BEL,280756,171653
2020/10/26 5:00,MME1BEL,283911,175885
2020/10/26 6:00,MME1BEL,304370,192381
2020/10/26 7:00,MME1BEL,335904,220369
2020/10/26 8:00,MME1BEL,358400,238373
2020/10/26 9:00,MME1BEL,377575,253898
2020/10/26 10:00,MME1BEL,388463,261756
2020/10/26 11:00,MME1BEL,397825,267255
2020/10/26 12:00,MME1BEL,404100,271058
2020/10/26 13:00,MME1BEL,408281,272338
2020/10/26 14:00,MME1BEL,402999,265469
2020/10/26 15:00,MME1BEL,394706,260566
2020/10/26 16:00,MME1BEL,396687,262421
2020/10/26 17:00,MME1BEL,398571,264776
2020/10/26 18:00,MME1BEL,399031,265184
2020/10/26 19:00,MME1BEL,410129,271784
2020/10/26 20:00,MME1BEL,412886,277078
2020/10/26 21:00,MME1BEL,408837,273324
2020/10/26 22:00,MME1BEL,396173,260776
2020/10/26 23:00,MME1BEL,373698,241819
2020/10/27 0:00,MME1BEL,608793,480388
2020/10/27 1:00,MME1BEL,296375,173306
2020/10/27 2:00,MME1BEL,391925,273297
2020/10/27 3:00,MME1BEL,259244,143049
2020/10/27 4:00,MME1BEL,362830,248157
2020/10/27 5:00,MME1BEL,257089,143310
2020/10/27 6:00,MME1BEL,384255,268564
2020/10/27 7:00,MME1BEL,313851,192808
2020/10/27 8:00,MME1BEL,415753,293106
2020/10/27 9:00,MME1BEL,350407,224360
2020/10/27 10:00,MME1BEL,424223,293511
2020/10/27 11:00,MME1BEL,372518,238014
2020/10/27 12:00,MME1BEL,433813,300147
2020/10/27 13:00,MME1BEL,379703,244505
2020/10/27 14:00,MME1BEL,427564,288708
2020/10/27 15:00,MME1BEL,368452,233181
2020/10/27 16:00,MME1BEL,417298,280993
2020/10/27 17:00,MME1BEL,365597,240667
2020/10/27 18:00,MME1BEL,413386,280149
2020/10/27 19:00,MME1BEL,383555,248338
2020/10/27 20:00,MME1BEL,431642,292144
2020/10/27 21:00,MME1BEL,390148,251192
2020/10/27 22:00,MME1BEL,413710,277091
2020/10/27 23:00,MME1BEL,357086,222563
2020/10/28 0:00,MME1BEL,364093,234348
2020/10/28 1:00,MME1BEL,295454,172653
2020/10/28 2:00,MME1BEL,306799,188094
2020/10/28 3:00,MME1BEL,263087,147214
2020/10/28 4:00,MME1BEL,284766,170204
2020/10/28 5:00,MME1BEL,261427,147444
2020/10/28 6:00,MME1BEL,316080,199757
2020/10/28 7:00,MME1BEL,315424,197539
2020/10/28 8:00,MME1BEL,366693,242538
2020/10/28 9:00,MME1BEL,347661,222354
2020/10/28 10:00,MME1BEL,388498,256724
2020/10/28 11:00,MME1BEL,370648,238139
2020/10/28 12:00,MME1BEL,404764,267692
2020/10/28 13:00,MME1BEL,382588,243676
2020/10/28 14:00,MME1BEL,402952,265857
2020/10/28 15:00,MME1BEL,375080,238465
2020/10/28 16:00,MME1BEL,402717,266090
2020/10/28 17:00,MME1BEL,382545,245771
2020/10/28 18:00,MME1BEL,405957,270290
2020/10/28 19:00,MME1BEL,398037,260280
2020/10/28 20:00,MME1BEL,426290,288007
2020/10/28 21:00,MME1BEL,405087,264574
2020/10/28 22:00,MME1BEL,412760,273305
2020/10/28 23:00,MME1BEL,367914,235543
2020/10/29 0:00,MME1BEL,373346,241660
2020/10/29 1:00,MME1BEL,317992,190861
2020/10/29 2:00,MME1BEL,310148,184716
2020/10/29 3:00,MME1BEL,274546,157303
2020/10/29 4:00,MME1BEL,286184,170472
2020/10/29 5:00,MME1BEL,271504,157961
2020/10/29 6:00,MME1BEL,312492,196968
2020/10/29 7:00,MME1BEL,324618,204413
2020/10/29 8:00,MME1BEL,361500,236665
2020/10/29 9:00,MME1BEL,360324,231613
2020/10/29 10:00,MME1BEL,385459,253312
2020/10/29 11:00,MME1BEL,379654,242262
2020/10/29 12:00,MME1BEL,404057,264814
2020/10/29 13:00,MME1BEL,382405,246651
2020/10/29 14:00,MME1BEL,401543,261535
